player_name,team,matches_played,runs,balls_faced,dismissals,average,strike_rate,highest_score
VY Mahesh,Delhi Daredevils,5,15,28,2,7.5,53.57142857,6
Vijaykumar Vyshak,Royal Challengers Bangalore,2,13,10,1,13,130,13
Vijaykumar Vyshak,Royal Challengers Bengaluru,2,1,3,1,1,33.33333333,13
Virat Singh,Sunrisers Hyderabad,2,15,26,3,5,57.69230769,11
Vishnu Vinod,Mumbai Indians,3,37,32,3,12.33333333,115.625,30
Vishnu Vinod,Royal Challengers Bangalore,3,19,26,3,6.333333333,73.07692308,30
Vivrant Sharma,Sunrisers Hyderabad,1,69,49,1,69,140.8163265,69
W Jaffer,Royal Challengers Bangalore,8,130,129,7,18.57142857,100.7751938,50
WA Mota,Kings XI Punjab,8,56,76,5,11.2,73.68421053,25
WD Parnell,Delhi Daredevils,1,2,2,1,2,100,16
WD Parnell,Pune Warriors,11,61,78,8,7.625,78.20512821,16
WD Parnell,Royal Challengers Bangalore,1,2,6,1,2,33.33333333,16
WG Jacks,Royal Challengers Bengaluru,8,230,133,6,38.33333333,172.9323308,100
WP Saha,Chennai Super Kings,6,144,138,5,28.8,104.3478261,115
WP Saha,Gujarat Titans,37,824,683,34,24.23529412,120.6442167,115
WP Saha,Kings XI Punjab,49,1115,868,46,24.23913043,128.4562212,115
WP Saha,Kolkata Knight Riders,23,298,213,12,24.83333333,139.9061033,115
WP Saha,Sunrisers Hyderabad,28,553,466,24,23.04166667,118.6695279,115
WPUJC Vaas,Deccan Chargers,11,81,73,7,11.57142857,110.9589041,20
Washington Sundar,Rising Pune Supergiant,5,9,12,0,9,75,40
Washington Sundar,Royal Challengers Bangalore,20,208,190,16,13,109.4736842,40
Washington Sundar,Sunrisers Hyderabad,13,161,139,11,14.63636364,115.8273381,40
X Thalaivan Sargunam,Sunrisers Hyderabad,1,10,17,1,10,58.82352941,10
Y Gnaneswara Rao,Kochi Tuskers Kerala,1,19,18,1,19,105.5555556,19
Y Nagar,Delhi Daredevils,20,285,271,15,19,105.1660517,44
Y Prithvi Raj,Kolkata Knight Riders,1,0,1,0,0,0,0
Y Venugopal Rao,Deccan Chargers,26,446,379,22,20.27272727,117.6781003,71
Y Venugopal Rao,Delhi Daredevils,21,468,421,17,27.52941176,111.1638955,71
Y Venugopal Rao,Sunrisers Hyderabad,5,71,65,3,23.66666667,109.2307692,71
YA Abdulla,Kings XI Punjab,1,0,1,0,0,0,0
YBK Jaiswal,Rajasthan Royals,52,1607,1095,49,32.79591837,146.7579909,124
YK Pathan,Kolkata Knight Riders,91,1893,1421,64,29.578125,133.216045,100
YK Pathan,Rajasthan Royals,42,1029,655,35,29.4,157.0992366,100
YK Pathan,Sunrisers Hyderabad,20,300,258,12,25,116.2790698,100
YS Chahal,Rajasthan Royals,1,5,8,1,5,62.5,8
YS Chahal,Royal Challengers Bangalore,16,32,81,5,6.4,39.50617284,8
YV Dhull,Delhi Capitals,3,16,23,3,5.333333333,69.56521739,13
YV Takawale,Mumbai Indians,5,88,91,3,29.33333333,96.7032967,45
YV Takawale,Royal Challengers Bangalore,5,104,92,5,20.8,113.0434783,45
Yash Dayal,Gujarat Titans,1,0,1,1,0,0,0
Yashpal Singh,Kolkata Knight Riders,4,47,67,4,11.75,70.14925373,20
Younis Khan,Rajasthan Royals,1,3,7,1,3,42.85714286,3
Yudhvir Singh,Lucknow Super Giants,4,22,16,4,5.5,137.5,14
Yuvraj Singh,Delhi Daredevils,13,248,215,13,19.07692308,115.3488372,83
Yuvraj Singh,Kings XI Punjab,48,963,788,41,23.48780488,122.2081218,83
Yuvraj Singh,Mumbai Indians,4,98,83,4,24.5,118.0722892,83
Yuvraj Singh,Pune Warriors,26,581,462,21,27.66666667,125.7575758,83
Yuvraj Singh,Royal Challengers Bangalore,14,376,288,10,37.6,130.5555556,83
Yuvraj Singh,Sunrisers Hyderabad,21,488,371,20,24.4,131.5363881,83
Z Khan,Delhi Daredevils,5,10,26,3,3.333333333,38.46153846,23
Z Khan,Mumbai Indians,9,40,31,4,10,129.0322581,23
Z Khan,Royal Challengers Bangalore,13,67,84,8,8.375,79.76190476,23
